ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Διεύθυνση,Περιφέρεια,Περιφερειακή Ενότητα,Δήμος,Δημοτική Ενότητα,Τηλέφωνο 1,Τηλέφωνο 2,Email
996526256,ΣΥΛΛΟΓΟΣ ΗΡΩΕΣ ΤΗΣ BPAN,-,"Θεοδ. Ζιάκα 23, ΤΚ:51100",ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ,ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ,6972200558,6937225760,bpanheroes@gmail.com
996831994,ΘΕΑΤΡΟ ΑΘΗΝΩΝ Ο ΘΕΣΠΙΣ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΙΑ,-,"ΑΛΑΜΑΝΑΣ 26, ΤΚ:13461",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΗΜΟΣ ΦΥΛΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΖΕΦΥΡΙΟΥ,2102384800,6980791400,theatroathinwn@gmail.com
999886741,ΦΙΛΑΝΘΡΩΠΙΚΟΣ  ΣΥΛΛΟΓΟΣ ΔΗΜΟΥ ΚΑΛΑΜΠΑΚΙΟΥ ΝΟΜΟΥ ΔΡΑΜΑΣ ΑΓΙΟΣ ΒΑΣΙΛΕΙΟΣ,-,"ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΑΡΑΜΑΝΛΗ  31, ΤΚ:66031",ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,ΔΗΜΟΣ ΔΟΞΑΤΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΜΠΑΚΙΟΥ,2521052280,6944778986,agiosvasileioskal@gmail.com
090270900,"ΙΔΡΥΜΑ ΠΕΡΙΘΑΛΨΗΣ ΗΛΙΚΙΩΜΕΝΩΝ ΑΓΩΝΙΣΤΩΝ  ""ΤΟ ΣΠΙΤΙ ΤΟΥ ΑΓΩΝΙΣΤΗ¨",-,"ΟΜΗΡΟΥ  35, ΤΚ:17236",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,-,2109769036,+30 6986909744,sta-1984@hotmail.com
996752548,ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ ΒΗΜΑ ΖΩΗΣ,ΒΗΜΑ ΖΩΗΣ,"ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ Π. 2, ΤΚ:11141",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2106835451,6985076200,info@vimazois.gr
099608620,"ΕΚΚΛΗΣΙΑΣΤΙΚΟΝ ΓΗΡΟΚΟΜΕΙΟΝ ΤΗΣ ΙΕΡΑΣ ΜΗΤΡΟΠΟΛΕΩΣ ΚΙΤΡΟΥΣ, ΚΑΤΕΡΙΝΗΣ ΚΑΙ ΠΛΑΤΑΜΩΝΟΣ",-,"ΑΓΙΑΣ ΣΟΦΙΑΣ 4, ΤΚ:60100",ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΙΕΡΙΑΣ,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΤΕΡΙΝΗΣ,2351030074,6978823555,info@mkitrousgirokomeio.gr
998402476,ΠΑΝΕΛΛΗΝΙΟΣ ΣΥΛΛΟΓΟΣ ΜΕΤΑΜΟΣΧΕΥΜΕΝΩΝ ΚΑΡΔΙΑΣ -  ΠΝΕΥΜΟΝΑ,ΣΥΝΕΧΙΖΩ,"ΔΑΒΑΚΗ  55, ΤΚ:17673",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΛΙΘΕΑΣ,2109510300,6944321450,synehizo@gmail.com
997266243,ΣΤΕΓΗ ΓΕΡΟΝΤΩΝ ΙΕΡΟΥ ΝΑΟΥ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΚΥΨΕΛΗΣ,-,"ΚΕΦΑΛΛΗΝΙΑΣ 19, ΤΚ:11361",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,6977479141,2108227845,stegi.ag.georgiou@gmail.com
090010745,ΚΩΝΣΤΑΝΤΟΠΟΥΛΕΙΟΣ ΟΙΚΟΣ ΕΥΓΗΡΙΑΣ ΚΑΙ ΧΡΟΝΙΩΝ ΠΑΘΗΣΕΩΝ (ΤΕΩΣ ΠΤΩΧΟΚΟΜΕΙΟ ΠΑΤΡΩΝ-Ο ΑΠΟΣΤΟΛΟΣ ΑΝΔΡΕΑΣ),-,"ΠΗΝΕΛΟΠΗΣ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ 10, ΤΚ:26331",ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ,ΔΗΜΟΣ ΠΑΤΡΕΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,2610221041,6949424225,info@konstantopouleio-eugireio.gr
999876667,"ΔΩΔΕΚΑΝΗΣΙΑΚΟΣ ΣΥΛΛΟΓΟΣ ΑΥΤΟΑΝΟΣΩΝ ΝΟΣΗΜΑΤΩΝ ΑΡΘΡΙΤΙΔΑΣ ΚΑΙ ΛΥΚΟΥ ""ΘΑΛΕΙΑ""",-,"ΕΡΥΘΡΟΥ ΣΤΑΥΡΟΥ 6, ΤΚ:85100",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ,ΔΗΜΟΣ ΡΟΔΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ,2241031290,6936957907,info@thalia.gr
090030340,ΟΙΚΟΣ ΕΥΓΗΡΙΑΣ των ΦΙΛΑΝΘΡΩΠΙΚΩΝ ΚΑΤΑΣΤΗΜΑΤΩΝ ΚΕΦΑΛΛΗΝΙΑΣ,-,"ΡΟΚΚΟΥ ΒΕΡΓΩΤΗ 2, ΤΚ:28100",ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,ΔΗΜΟΣ ΑΡΓΟΣΤΟΛΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΣΤΟΛΙΟΥ,2671022585,6974780683,evgirias@otenet.gr
099270688,"ΟΙΚΟΣ ΕΥΓΗΡΙΑΣ ""Ο ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ""",-,"ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ -, ΤΚ:85300",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΩ,ΔΗΜΟΣ ΚΩ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΩ,2242022621,6979959996,imkosnis@gmail.com
997192133,ΚΑΡΙΤΑΣ ΝΑΞΟΥ - ΤΗΝΟΥ - ΑΝΔΡΟΥ - ΜΥΚΟΝΟΥ,-,"ΠΑΛΛΑΔΑ -, ΤΚ:84200",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΗΝΟΥ,ΔΗΜΟΣ ΤΗΝΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΗΝΟΥ,2283022382,6980155780,antonis_kas@hotmail.com
996751785,ΣΤΡΟΝΓΚ ΜΙ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ,STRONG ME Α.Μ.Κ.Ε,"ΘΡΑΚΗΣ 12, ΤΚ:14121",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ,-,6936858268,6944593522,info@strong-me.com
090313492,ΣΤΕΓΗ ΓΕΡΟΝΤΩΝ ΙΕΡΟΥ ΝΑΟΥ ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ ΓΚΥΖΗ,-,"ΑΜΦΙΚΛΕΙΑΣ  1, ΤΚ:11476",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2106420015,6944788637,stegi.ag.stylianos@gmail.com
099563111,"""ΣΥΛΛΟΓΟΣ ΕΘΕΛΟΝΤΩΝ ΑΙΜΟΔΟΤΩΝ ΠΑΡΟΥ-ΑΝΤΙΠΑΡΟΥ"" ""ΜΑΡΙΑ ΝΑΥΠΛΙΩΤΗ""",-,"ΣΚΟΠΑ 3, ΤΚ:84400",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ,ΔΗΜΟΣ ΠΑΡΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ,6947401921,6937351148,aimodosiaparou@gmail.com
090256794,ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ-ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΕΠΑΡΧΕΙΟΥ ΝΑΞΟΥ,-,"Άγιος Θαλλέλαιος -, ΤΚ:84300",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΑΞΟΥ,ΔΗΜΟΣ ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΑΞΟΥ,2285062644,6972081929,syllogos.amea.naxou@hotmail.gr
999264337,ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΤΟΜΩΝ ΜΕ ΑΥΤΙΣΜΟ - ΔΙΑΧΥΤΩΝ ΑΝΑΠΤΥΞΙΑΚΩΝ ΔΙΑΤΑΡΑΧΩΝ (Δ.Α.Δ.),-,"ΠΑΛΑΙΟΛΟΓΟΥ 1, ΤΚ:52100",ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ,ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ,2467025336,6972224023,autismkastoria@gmail.com
996851655,ITAMOS ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ ΜΟΥΖΑΚΙΟΥ,ΙΤΑΜΟΣ ΜΟΥΖΑΚΙ,"ΑΡΙΟΝΟΣ 4, ΤΚ:43060",ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΟΥΖΑΚΙΟΥ,6979774923,6972177066,info@itamos.org
090285624,ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΚΑΙ ΚΗΔΕΜΟΝΩΝ ΑΜΕΑ ΝΟΜΟΥ ΧΙΟΥ,ΣΥΝ-ΥΠΑΡΧΩ,"ΑΓΙΑ ΤΡΙΑΔΑ -, ΤΚ:82100",ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΙΟΥ,ΔΗΜΟΣ ΧΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΧΙΟΥ,2271024416,6947775089,syllogosameanchiou@yahoo.gr
