ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Νομική Μορφή,ΦΕΚ,ΦΕΚ Ανανέωσης,Διάρκεια Πιστοποίησης Έως,Ηλικιακή Ομάδα,Υπηρεσίες,Δομές
997534518,ΔΙΕΘΝΕΣ ΚΕΝΤΡΟ ΓΙΑ ΤΗ ΒΙΩΣΙΜΗ ΑΝΑΠΤΥΞΗ,ICSD,Αστική μη Κερδοσκοπική Εταιρεία,Β΄5476,,14/10/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Σίτιση,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα)","ΔΟΜΗ ΠΑΡΟΧΗΣ ΒΑΣΙΚΩΝ ΑΓΑΘΩΝ ΣΤΟ ΔΗΜΟ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,Λειτουργία Μονάδας ΕΔΗΔ στην Αθήνα ""ΥΠΟΣΤΗΡΙΞΗ ΚΑΙ ΕΝΔΥΝΑΜΩΣΗ ΣΕ ΑΣΥΝΟΔΕΥΤΟΥΣ ΑΝΗΛΙΚΟΥΣ 16 ΕΤΩΝ ΚΑΙ ΑΝΩ""»,Λειτουργία Μονάδας ΕΔΗΔ στην Αθήνα ""ΣΤΗΡΙΖΩ ΤΗ ΛΕΙΤΟΥΡΓΙΑ ΕΠΟΠΤΕΥΟΜΕΝΩΝ ΔΙΑΜΕΡΙΣΜΑΤΩΝ ΓΙΑ ΑΣΥΝΟΔΕΥΤΟΥΣ ΑΝΗΛΙΚΟΥΣ 16 ΕΤΩΝ ΚΑΙ ΑΝΩ'',ΚΦΑΑ ΜΕ ΤΗΝ ΕΠΩΝΥΜΙΑ: ΔΟΜΗ ΦΙΛΟΞΕΝΙΑΣ ΑΣΥΝΟΔΕΥΤΩΝ ΑΝΗΛΙΚΩΝ ΣΤΑ ΙΩΑΝΝΙΝΑ,ΚΦΑΑ ΜΕ ΤΗΝ ΕΠΩΝΥΜΙΑ: ΦΡΟΝΤΙΖΩ ΓΙΑ ΤΗ ΦΙΛΟΞΕΝΙΑ ΑΣΥΝΟΔΕΥΤΩΝ ΑΝΗΛΙΚΩΝ ΣΤΗΝ ΗΠΕΙΡΟ,ΚΦΑΑ ΜΕ ΤΗΝ ΕΠΩΝΥΜΙΑ: ΔΟΜΗ ΦΙΛΟΞΕΝΙΑΣ ΑΣΥΝΟΔΕΥΤΩΝ ΑΝΗΛΙΚΩΝ ΣΤΗΝ ΗΓΟΥΜΕΝΙΤΣΑ,ΟΙΚΟΤΡΟΦΕΙΟ Α1 ΦΙΛΙΑΤΩΝ ,-,ΓΡΑΦΕΙΟ (ΕΔΡΑ) ICSD"
998271773,ΣΥΛΛΟΓΟΣ ΝΕΦΡΟΠΑΘΩΝ ΜΕΣΣΗΝΙΑΣ,-,Σωματείο – Σύλλογος,Β' 6303/24-11-2025,,24/11/2029,Γενικός Πληθυσμός,"Ενημέρωση/πληροφόρηση,Συμβουλευτική στήριξη",ΣΥΛΛΟΓΟΣ ΝΕΦΡΟΠΑΘΩΝ ΜΕΣΣΗΝΙΑΣ
090136618,ΓΙΑΤΡΟΙ ΤΟΥ ΚΟΣΜΟΥ ΕΛΛΗΝΙΚΗ ΑΝΤΙΠΡΟΣΩΠΕΙΑ,-,Σωματείο – Σύλλογος,Β' 7078,,30/12/2029,"Γενικός Πληθυσμός, Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Αιμοδοσία,Διανυκτέρευση,Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΥΠΝΩΤΗΡΙΟ ΑΣΤΕΓΩΝ,ΠΟΛΥΙΑΤΡΕΙΟ ΓΙΑΤΡΩΝ ΤΟΥ ΚΟΣΜΟΥ,ΞΕΝΩΝΑΣ ΜΕΤΑΒΑΤΙΚΗΣ ΦΙΛΟΞΕΝΙΑΣ ΕΥΑΛΩΤΩΝ ΓΥΝΑΙΚΩΝ,ΠΟΛΥΙΑΤΡΕΙΟ ΓΙΑΤΡΩΝ ΤΟΥ ΚΟΣΜΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ"
090081001,"ΓΗΡΟΚΟΜΕΙΟ ΣΠΑΡΤΗΣ ""ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ""",-,Ίδρυμα,Β' 7078,,30/12/2029,"Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Διανυκτέρευση,Εκπαίδευση εθελοντών,Επαγγελματική κατάρτιση,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΓΗΡΟΚΟΜΕΙΟ ΣΠΑΡΤΗΣ ""ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ"""
090043950,ΣΥΛΛΟΓΟΣ ΣΥΝΔΡΟΜΟΥ DOWN ΕΛΛΑΔΟΣ,-,Σωματείο – Σύλλογος,Β' 6303/24-11-2025,,24/11/2029,"Γενικός Πληθυσμός, Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών","Διανυκτέρευση,Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΠΡΟΓΡΑΜΜΑΤΑ ΜΗ ΤΥΠΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ&ΕΛΕΥΘΕΡΟΥ ΧΡΟΝΟΥ-ΣΥΝΟΔΕΥΤΙΚΕΣ ΥΠΟΣΤΗΡΙΚΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ-ΛΟΙΠΕΣ ΔΡΑΣΕΙΣ,ΚΔΗΦ ΣΥΛΛΟΓΟΥ ΣΥΝΔΡΟΜΟΥ DOWN ΕΛΛΑΔΟΣ,ΣΥΔ ΣΥΛΛΟΓΟΥ ΣΥΝΔΟΜΟΥ DOWN ΕΛΛΑΔΟΣ"
999328534,"""ΣΩΜΑΤΕΙΟ ΓΟΝΕΩΝ ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΑ -ΝΙΚΗ- ΚΕΝΤΡΟ ΘΕΡΑΠΕΥΤΙΚΗΣ ΠΑΡΕΜΒΑΣΗΣ ΚΑΙ ΔΗΜΙΟΥΡΓΙΚΗΣ ΑΠΑΣΧΟΛΗΣΗΣ""",-,Σωματείο – Σύλλογος,Β' 7078,,30/12/2029,"Γενικός Πληθυσμός, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Σίτιση,Συμβουλευτική στήριξη,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη",NIKH
090101747,ΕΝΩΣΙΣ ΓΟΝΕΩΝ ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΠΡΟΣΑΡΜΟΣΤΩΝ ΑΤΟΜΩΝ-ΦΙΛΑΝΘΡΩΠΙΚΟΝ ΣΩΜΑΤΕΙΟΝ,"ΚΕΝΤΡΟ ΕΙΔΙΚΩΝ ΠΑΙΔΙΩΝ ""Η ΖΩΟΔΟΧΟΣ ΠΗΓΗ""",Σωματείο – Σύλλογος,B' 6648,,10/12/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Τοποθέτηση σε θέσεις εργασίας,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Κέντρο Ημέρας για άτομα με Αυτισμό - ΔΑΔ - ΖΩΟΔΟΧΟΣ ΠΗΓΗ,Στέγη Υποστηριζόμενης Διαβίωσης 4 Ατόμων ΧΡΥΣΟΣΤΟΜΟΥ,Στέγη Υποστηριζόμενης Διαβίωσης 4 Ατόμων ΜΠΙΖΑΝΙΟΥ,Στέγη Υποστηριζόμενης Διαβίωσης 4 Ατόμων ΚΑΣΤΡΙΝΑΚΗ,«ΚΕΝΤΡΟΥ ΔΙΗΜ & ΗΜΕΡ ΦΡΟΝΤΙΔΑΣ ΑΤΟΜΩΝ ΜΕ Ν.Α.  ΖΩΟΔΟΧΟΣ ΠΗΓΗ» "
998601780,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ, ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΥΤΙΣΜΟ Ν. ΜΕΣΣΗΝΙΑΣ",-,Σωματείο – Σύλλογος,Β' 6036,,11/11/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Εργοθεραπεία,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΚΕΝΤΡΟ ΗΜΕΡΑΣ ""Ε.Υ.Τ.Υ.Χ.Ι.Α."",ΟΙΚΟΤΡΟΦΕΙΟ Α4 ΣΤΗ ΜΕΡΟΠΗ ΜΕΣΣΗΝΙΑΣ"
997097387,"Ένωση Εικαστικών Λανασσα υπέρ φορέων καρκινοπαθών και άλλων ασθενών σε Ελλάδα και Κύπρο "," ΛΆΝΑΣΣΑ ",Σωματείο – Σύλλογος,Β'4488,,20/08/2029,"Κάτω των 5 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Αιμοδοσία,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Υλική βοήθεια (είδος και χρήμα)","Ένωση Εικαστικων Λανασσα υπέρ φορέων καρκινοπαθων και άλλων ασθενών σε Ελλάδα και Κύπρο "
099911644,ΚΑΡΙΤΑΣ ΑΘΗΝΑΣ,-,Σωματείο – Σύλλογος,Β΄5476,,14/10/2029,Γενικός Πληθυσμός,"Αιμοδοσία,Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Παιδαγωγικές δραστηριότητες,Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Τοποθέτηση σε θέσεις εργασίας,Υλική βοήθεια (είδος και χρήμα),Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Ψυχολογική υποστήριξη","ΚΑΡΙΤΑΣ ΑΘΗΝΑΣ-ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΩΝ ΥΠΗΡΕΣΙΩΝ "
999333593,"ΣΥΛΛΟΓΟΣ ΦΙΛΩΝ ΠΕΡΙΘΑΛΠΟΜΕΝΩΝ ΝΟΣΟΚΟΜΕΙΟΥ ""Η ΣΩΤΗΡΙΑ""",ΣΟΦΙΑ ΣΛΗΜΑΝ,Σωματείο – Σύλλογος,Β' 6550,,09/12/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Υλική βοήθεια (είδος και χρήμα)",ΣΥΛΛΟΓΟΣ ΦΙΛΩΝ ΠΕΡΙΘΑΛΠΟΜΕΝΩΝ ΝΟΣΟΚΟΜΕΙΟΥ Η ΣΩΤΗΡΙΑ
090042780,ΕΝΩΣΗ ΠΟΛΥΤΕΚΝΩΝ ΑΘΗΝΩΝ (Ε.Π.Α.),-,Σωματείο – Σύλλογος,Β΄4789,,09/09/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Υλική βοήθεια (είδος και χρήμα)",ΓΡΑΦΕΙΑ ΕΝΩΣΗΣΠΟΛΥΤΕΚΝΩΝ ΕΛΛΑΔΟΣ
090262948,ΠΑΝΘΕΣΣΑΛΙΚΟΣ ΣΥΛΟΓΟΣ ΑΝΑΠΗΡΩΝ ΠΟΛΙΤΩΝ,-,Σωματείο – Σύλλογος,Β΄3247,,25/06/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών",ΓΡΑΦΕΙΑ ΣΥΛΛΟΓΟΥ
090048121,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ, ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΥΤΙΣΜΟ ΚΑΙ ΑΤΟΜΩΝ ΜΕ ΑΥΤΙΣΜΟ ΚΑΙ ΝΟΗΤΙΚΗ ΑΝΑΠΗΡΙΑ",ΕΛΠΙΔΑ,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β΄3247 (Διόρθωση σφάλματος στο ΦΕΚ Β΄2755/4-6-2025),,04/06/2029,Γενικός Πληθυσμός,"Διανυκτέρευση,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Μονάδα Αυτιστικού Ατόμου και Αυτιστικού Ατόμου με Νοητική Αναπηρία,ΚΔΑΠ μεΑ ""ΕΛΠΙΔΑ"",ΣΥΔ ""ΕΛΠΙΔΑ"""
